year,tag,site,treatment,species,ecoGrp,height,heightNext,diam,diamNext,canopyCover,shrubCover,grassCover,green,scorchHt,resprout,died
1,900,Pikertaramoor,Annual,Bmega,Pantropical,30,25,NA,NA,0.267692057,NA,NA,No,150,Basal,No
2,944,Shark Bay B,Annual,Pcare,Pantropical,15,25,NA,NA,0.267117169,4.5,10.5,No,300,Basal,No
1,980,Pikertaramoor,Annual,Pcare,Pantropical,65.5,25,NA,NA,0.334980469,NA,NA,No,130,Basal,No
1,1267,Shark Bay B,Annual,Gheli,Proteaceae,44,25.5,NA,NA,0.565276693,13.5,1.5,No,265,Basal,No
1,1001,Pikertaramoor,Annual,Bmega,Pantropical,15.5,26,NA,NA,0.130299479,NA,NA,No,190,Basal,No
1,19,Taracumbi,Annual,Alate,Acacia,88.5,150,NA,0.9,0.188863932,24.5,10.5,Yes,100,None,No
1,541,Taracumbi,Annual,Emini,Eucalypt,65,27,NA,NA,0.291928584,15,15,No,420,Basal,No
1,295,Imalu,Annual,Tferd,Pantropical,30,29,NA,NA,0.371077474,4,16,No,130,Epicormic,No
2,2277,Shark Bay C,Annual,Tferd,Pantropical,22,29,NA,NA,0.321416016,22.75,12.25,No,1000,Basal,No
2,754,Taracumbi,Annual,Aexce,Pantropical,62,29.5,NA,0.2,0.380657552,21,14,No,1000,None,No
2,616,Shark Bay B,Annual,Cneso,Eucalypt,123.5,30,NA,NA,0.363056407,12,8,No,200,Basal,No
1,752,Taracumbi,Annual,Bobov,Pantropical,87.5,30,1,NA,0.302174479,40.5,4.5,No,265,Basal,No
1,1277,Taracumbi,Annual,Gheli,Proteaceae,156,30,2,NA,0.153095952,41.25,33.75,No,220,Epicormic,No
1,626,Taracumbi,Annual,Cneso,Eucalypt,83.5,31,NA,NA,0.325807327,7,28,No,430,Basal,No
1,2219,Imalu,Annual,Gheli,Proteaceae,64.5,31,NA,NA,0.240523875,10,15,No,260,Basal,No
2,978,Pikertaramoor,Annual,Cneso,Eucalypt,24,31.5,NA,0.3,0.334912109,NA,NA,No,1000,Basal,No
2,245,Shark Bay B,Annual,Pcare,Pantropical,35.5,32,NA,NA,0.425751953,7,3,No,200,None,No
1,993,Pikertaramoor,Annual,Emini,Eucalypt,200.5,32,1.6,NA,0.264788411,NA,NA,No,220,Both,No
1,2239,Imalu,Annual,Gheli,Proteaceae,65.5,32,NA,NA,0.212392578,6,24,No,230,Basal,No
2,2210,Shark Bay C,Annual,Emini,Eucalypt,54,32.5,NA,NA,0.34767873,36,4,No,600,Basal,No
1,615,Shark Bay B,Annual,Cneso,Eucalypt,53,33,NA,NA,0.293453776,10,30,No,340,Basal,No
1,684,Taracumbi,Annual,Bobov,Pantropical,82.5,33,1.3,NA,0.127259115,32,8,No,700,Basal,No
2,723,Taracumbi,Annual,Bobov,Pantropical,35,33,NA,NA,0.496741536,12.25,22.75,No,1200,Basal,No
1,751,Taracumbi,Annual,Echlo,Pantropical,126.5,33,2.3,NA,0.231507161,28,7,No,400,Basal,No
2,2241,Shark Bay C,Annual,Aexce,Pantropical,55,33,NA,NA,0.197334974,0.5,9.5,No,800,Basal,No
2,1,Pikertaramoor,Annual,Bmega,Pantropical,18,34,NA,NA,0.205003255,NA,NA,No,30,Basal,No
1,35,Shark Bay A,Annual,Etetr,Eucalypt,90,201.8,NA,1.4,0.428463542,NA,NA,Yes,0,Both,No
2,35,Shark Bay A,Annual,Etetr,Eucalypt,201.8,171,1.4,2,0.428463542,NA,NA,Yes,0,None,No
2,677,Taracumbi,Annual,Bobov,Pantropical,24,34,NA,NA,0.335104167,40,10,No,800,Basal,No
2,27,Pikertaramoor,Annual,Bmega,Pantropical,0,34.5,NA,NA,0.249527995,NA,NA,No,1000,Basal,No
1,37,Shark Bay C,Unburnt,Bmega,Pantropical,206,226.7,3,3.3,0.283759766,3,2,NA,0,None,No
2,37,Shark Bay C,Unburnt,Bmega,Pantropical,226.7,232.5,3.3,3.3,0.283759766,3,2,NA,0,None,No
2,38,Imalu,Unburnt,Etetr,Eucalypt,271.2,287,3.1,3.2,0.406103516,0,5,NA,0,None,No
1,38,Imalu,Unburnt,Etetr,Eucalypt,299.6,271.2,3,3.1,0.406103516,0,5,NA,0,Epicormic,No
2,39,Imalu,Unburnt,Cneso,Eucalypt,150.2,172,NA,0.8,0.159020182,15,10,NA,0,None,No
1,39,Imalu,Unburnt,Cneso,Eucalypt,NA,150.2,NA,NA,0.159020182,15,10,NA,0,None,No
2,40,Shark Bay C,Unburnt,Echlo,Pantropical,75,69.5,NA,0.4,0.340029297,5,0,NA,0,None,No
1,40,Shark Bay C,Unburnt,Echlo,Pantropical,95.4,75,NA,NA,0.340029297,5,0,NA,0,None,No
1,41,Shark Bay C,Unburnt,Pcare,Pantropical,316.5,331.4,4.6,4,0.358763021,NA,NA,NA,0,None,No
2,41,Shark Bay C,Unburnt,Pcare,Pantropical,331.4,322.5,4,4.1,0.358763021,NA,NA,NA,0,None,No
2,43,Shark Bay C,Unburnt,Etetr,Eucalypt,87,142.5,NA,0.5,0.382099609,0,1,NA,0,None,No
1,43,Shark Bay C,Unburnt,Etetr,Eucalypt,137,87,NA,NA,0.382099609,0,1,NA,0,None,No
1,44,Shark Bay C,Unburnt,Aexce,Pantropical,347.8,386.3,4,4,0.52883138,20,0,NA,0,None,No
2,44,Shark Bay C,Unburnt,Aexce,Pantropical,386.3,440.5,4,3.9,0.52883138,20,0,NA,0,None,No
1,45,Shark Bay C,Unburnt,Echlo,Pantropical,80.6,167,3.4,2.8,0.565504557,0,0,NA,0,None,No
2,45,Shark Bay C,Unburnt,Echlo,Pantropical,167,105.5,2.8,3.1,0.565504557,0,0,NA,0,None,No
1,46,Shark Bay B,Unburnt,Echlo,Pantropical,51,56,NA,1,0.551966146,4,1,NA,0,None,No
2,46,Shark Bay B,Unburnt,Echlo,Pantropical,56,84.5,1,1.5,0.551966146,4,1,NA,0,Basal,No
2,47,Shark Bay C,Unburnt,Tferd,Pantropical,40,51,NA,NA,0.300934245,5.5,4.5,NA,0,None,No
1,47,Shark Bay C,Unburnt,Tferd,Pantropical,44.8,40,NA,NA,0.300934245,5.5,4.5,NA,0,None,No
1,50,Imalu,Unburnt,Pcare,Pantropical,121,143,3,2.6,0.429827474,0.15,0.85,NA,0,None,No
2,50,Imalu,Unburnt,Pcare,Pantropical,143,157,2.6,2.9,0.429827474,0.15,0.85,NA,0,None,No
1,51,Shark Bay B,Unburnt,Cneso,Eucalypt,44,46,NA,NA,0.380061849,5,5,NA,0,None,No
2,51,Shark Bay B,Unburnt,Cneso,Eucalypt,46,37.5,NA,NA,0.380061849,5,5,NA,0,None,No
1,52,Shark Bay C,Unburnt,Pcare,Pantropical,185.1,208,2.9,3.5,0.387464193,15,0,NA,0,None,No
2,52,Shark Bay C,Unburnt,Pcare,Pantropical,208,205.5,3.5,2.9,0.387464193,15,0,NA,0,None,No
1,53,Shark Bay C,Unburnt,Emini,Eucalypt,48,77,NA,NA,0.435605469,3.5,1.5,NA,0,None,No
2,53,Shark Bay C,Unburnt,Emini,Eucalypt,77,54,NA,0.2,0.435605469,3.5,1.5,NA,0,None,No
1,55,Imalu,Unburnt,Aexce,Pantropical,385.6,431.3,NA,5.1,0.484882813,0.5,9.5,NA,0,None,No
2,55,Imalu,Unburnt,Aexce,Pantropical,431.3,431.5,5.1,5.3,0.484882813,0.5,9.5,NA,0,None,No
1,56,Shark Bay C,Unburnt,Emini,Eucalypt,396,475.6,3.7,3.6,0.390849609,28.5,1.5,NA,0,None,No
2,56,Shark Bay C,Unburnt,Emini,Eucalypt,475.6,395,3.6,3.9,0.390849609,28.5,1.5,NA,0,None,No
1,59,Shark Bay C,Unburnt,Tferd,Pantropical,71,91,NA,1,0.540371094,5,5,NA,0,None,No
2,59,Shark Bay C,Unburnt,Tferd,Pantropical,91,97,1,0.9,0.540371094,5,5,NA,0,None,No
1,60,Pikertaramoor,Unburnt,Pcare,Pantropical,67,82,NA,NA,0.231728516,NA,NA,NA,0,None,No
2,60,Pikertaramoor,Unburnt,Pcare,Pantropical,82,84,NA,0.7,0.231728516,NA,NA,NA,0,Basal,No
1,61,Shark Bay C,Unburnt,Pcare,Pantropical,174,198.4,2.7,2.8,0.46930013,5,0,NA,0,None,No
2,61,Shark Bay C,Unburnt,Pcare,Pantropical,198.4,206,2.8,2.5,0.46930013,5,0,NA,0,None,No
2,62,Shark Bay C,Unburnt,Etetr,Eucalypt,304.3,314,1.6,1.6,0.35249349,15,0,NA,0,None,No
1,62,Shark Bay C,Unburnt,Etetr,Eucalypt,334.1,304.3,1.9,1.6,0.35249349,15,0,NA,0,None,No
1,64,Shark Bay B,Unburnt,Alate,Acacia,236.7,314.5,2,2.5,0.422285156,36,4,NA,0,None,No
2,64,Shark Bay B,Unburnt,Alate,Acacia,314.5,374.5,2.5,3.1,0.422285156,36,4,NA,0,None,No
1,65,Shark Bay C,Unburnt,Tferd,Pantropical,100.4,161.5,1,1.7,0.447945964,2.5,2.5,NA,0,None,No
2,65,Shark Bay C,Unburnt,Tferd,Pantropical,161.5,215.5,1.7,1.5,0.447945964,2.5,2.5,NA,0,None,No
1,66,Shark Bay C,Unburnt,Tferd,Pantropical,76,110,1.9,1.7,0.665989583,0,1,NA,0,None,No
2,66,Shark Bay C,Unburnt,Tferd,Pantropical,110,105.5,1.7,1.4,0.665989583,0,1,NA,0,None,No
2,67,Shark Bay C,Unburnt,Bobov,Pantropical,249.4,243,4.2,4.2,0.308873698,5,5,NA,0,None,No
1,67,Shark Bay C,Unburnt,Bobov,Pantropical,261.2,249.4,4.5,4.2,0.308873698,5,5,NA,0,None,No
1,68,Shark Bay C,Unburnt,Etetr,Eucalypt,49.5,50,NA,NA,0.372011719,5,5,NA,0,None,No
2,68,Shark Bay C,Unburnt,Etetr,Eucalypt,50,46.5,NA,NA,0.372011719,5,5,NA,0,None,No
1,69,Shark Bay C,Unburnt,Cneso,Eucalypt,113.5,160.2,NA,NA,0.417067057,7.5,17.5,NA,0,None,No
2,69,Shark Bay C,Unburnt,Cneso,Eucalypt,160.2,139.5,NA,0.5,0.417067057,7.5,17.5,NA,0,None,No
1,70,Shark Bay B,Unburnt,Pcare,Pantropical,111,136,2.2,2.1,0.386861979,4.5,0.5,NA,0,None,No
2,70,Shark Bay B,Unburnt,Pcare,Pantropical,136,144.5,2.1,2.3,0.386861979,4.5,0.5,NA,0,None,No
2,71,Shark Bay B,Unburnt,Alate,Acacia,69,0,NA,NA,0.323785807,6,4,NA,0,None,Yes
1,71,Shark Bay B,Unburnt,Alate,Acacia,366.5,0,2.5,NA,0.323785807,6,4,NA,0,Basal,Yes
1,72,Shark Bay B,Unburnt,Emini,Eucalypt,129,244,1.1,2.3,0.511972467,0.5,4.5,NA,0,None,No
2,72,Shark Bay B,Unburnt,Emini,Eucalypt,244,352,2.3,2.6,0.511972467,0.5,4.5,NA,0,None,No
1,73,Shark Bay C,Unburnt,Tferd,Pantropical,179.4,208.2,3.1,3,0.463001302,8.25,6.75,NA,0,None,No
2,73,Shark Bay C,Unburnt,Tferd,Pantropical,208.2,207,3,3.2,0.463001302,8.25,6.75,NA,0,None,No
2,74,Shark Bay C,Unburnt,Etetr,Eucalypt,60,0,NA,NA,0.631523437,20,0,NA,0,None,Yes
1,74,Shark Bay C,Unburnt,Etetr,Eucalypt,63.5,0,NA,NA,0.631523437,20,0,NA,0,None,Yes
1,77,Shark Bay B,Unburnt,Etetr,Eucalypt,355.4,398.3,NA,2.6,0.506035156,2.5,2.5,NA,0,None,No
2,77,Shark Bay B,Unburnt,Etetr,Eucalypt,398.3,425,2.6,3.7,0.506035156,2.5,2.5,NA,0,None,No
1,79,Shark Bay C,Unburnt,Tferd,Pantropical,146.5,207.2,1.5,1.6,0.430758464,NA,NA,NA,0,None,No
2,79,Shark Bay C,Unburnt,Tferd,Pantropical,207.2,206.5,1.6,1.7,0.430758464,NA,NA,NA,0,None,No
1,80,Shark Bay C,Unburnt,Aexce,Pantropical,478.6,575.2,4.9,5.1,0.325852865,14.25,0.75,NA,0,None,No
2,80,Shark Bay C,Unburnt,Aexce,Pantropical,575.2,598,5.1,5.6,0.325852865,14.25,0.75,NA,0,None,No
2,81,Shark Bay C,Unburnt,Echlo,Pantropical,105,122,2,1.2,0.587151693,0,1,NA,0,None,No
1,81,Shark Bay C,Unburnt,Echlo,Pantropical,109,105,1.8,2,0.587151693,0,1,NA,0,None,No
2,82,Shark Bay C,Unburnt,Emini,Eucalypt,39,0,NA,NA,0.513671875,9,1,NA,0,None,Yes
1,82,Shark Bay C,Unburnt,Emini,Eucalypt,40,0,NA,NA,0.513671875,9,1,NA,0,None,Yes
1,83,Shark Bay C,Unburnt,Etetr,Eucalypt,471.1,497.2,NA,3.2,0.525166016,4.75,0.25,NA,0,None,No
2,83,Shark Bay C,Unburnt,Etetr,Eucalypt,497.2,490.5,3.2,3,0.525166016,4.75,0.25,NA,0,None,No
1,85,Shark Bay B,Unburnt,Aexce,Pantropical,321.9,379.5,2.7,3.3,0.530677083,20,0,NA,0,None,No
2,85,Shark Bay B,Unburnt,Aexce,Pantropical,379.5,389.5,3.3,4.4,0.530677083,20,0,NA,0,None,No
1,86,Shark Bay B,Unburnt,Pcare,Pantropical,112,123.5,2.1,2.2,0.327947376,0,1,NA,0,None,No
2,86,Shark Bay B,Unburnt,Pcare,Pantropical,123.5,156,2.2,2.8,0.327947376,0,1,NA,0,None,No
1,87,Shark Bay C,Unburnt,Echlo,Pantropical,274.5,340,4.4,4.8,0.376878255,5.25,9.75,NA,0,None,No
2,87,Shark Bay C,Unburnt,Echlo,Pantropical,340,466.5,4.8,4.5,0.376878255,5.25,9.75,NA,0,None,No
1,88,Shark Bay B,Unburnt,Emini,Eucalypt,10,25,NA,NA,0.544924476,23.75,1.25,NA,0,Epicormic,No
2,88,Shark Bay B,Unburnt,Emini,Eucalypt,25,40.5,NA,NA,0.544924476,23.75,1.25,NA,0,Epicormic,No
2,89,Shark Bay B,Unburnt,Cneso,Eucalypt,190,204,3.5,3.2,0.327773437,2.5,2.5,NA,0,Epicormic,No
1,89,Shark Bay B,Unburnt,Cneso,Eucalypt,366.7,190,3.2,3.5,0.327773437,2.5,2.5,NA,0,None,No
1,90,Shark Bay C,Unburnt,Cneso,Eucalypt,604.8,628.2,4.8,5.3,0.338466797,5,0,NA,0,None,No
2,90,Shark Bay C,Unburnt,Cneso,Eucalypt,628.2,658,5.3,5,0.338466797,5,0,NA,0,None,No
1,92,Shark Bay C,Unburnt,Etetr,Eucalypt,153.5,167.2,1.7,1.5,0.407714844,0,15,NA,0,None,No
2,92,Shark Bay C,Unburnt,Etetr,Eucalypt,167.2,70.5,1.5,0.3,0.407714844,0,15,NA,0,None,No
1,93,Pikertaramoor,Unburnt,Emini,Eucalypt,145,163.5,1,1.1,0.250215063,NA,NA,NA,0,None,No
2,93,Pikertaramoor,Unburnt,Emini,Eucalypt,163.5,238,1.1,1.7,0.250215063,NA,NA,NA,0,None,No
2,94,Shark Bay C,Unburnt,Cneso,Eucalypt,87,106,NA,0.4,0.56703776,3,2,NA,0,None,No
1,94,Shark Bay C,Unburnt,Cneso,Eucalypt,95,87,NA,NA,0.56703776,3,2,NA,0,None,No
1,95,Shark Bay C,Unburnt,Tferd,Pantropical,331.4,358.5,3.7,3.5,0.527330729,15,0,NA,0,None,No
2,95,Shark Bay C,Unburnt,Tferd,Pantropical,358.5,351,3.5,3.5,0.527330729,15,0,NA,0,None,No
1,96,Shark Bay C,Unburnt,Tferd,Pantropical,75.5,94,1.5,1.7,0.337832031,6,4,NA,0,None,No
2,96,Shark Bay C,Unburnt,Tferd,Pantropical,94,117,1.7,1.4,0.337832031,6,4,NA,0,None,No
1,97,Shark Bay C,Unburnt,Pcare,Pantropical,57.5,70,NA,NA,0.411380208,5,0,NA,0,None,No
2,97,Shark Bay C,Unburnt,Pcare,Pantropical,70,62,NA,0.4,0.411380208,5,0,NA,0,None,No
1,98,Shark Bay C,Unburnt,Pcare,Pantropical,55.6,67,NA,NA,0.524847005,0,0,NA,0,None,No
2,98,Shark Bay C,Unburnt,Pcare,Pantropical,67,32,NA,NA,0.524847005,0,0,NA,0,None,No
2,100,Shark Bay C,Unburnt,Etetr,Eucalypt,100,131,1.3,1.4,0.512054036,9.5,0.5,NA,0,Both,No
1,100,Shark Bay C,Unburnt,Etetr,Eucalypt,141,100,1.7,1.3,0.512054036,9.5,0.5,NA,0,Epicormic,No
1,101,Shark Bay C,Unburnt,Etetr,Eucalypt,544.4,572.8,4.1,3.7,0.314817708,4.75,0.25,NA,0,None,No
2,101,Shark Bay C,Unburnt,Etetr,Eucalypt,572.8,596.5,3.7,3.8,0.314817708,4.75,0.25,NA,0,None,No
1,102,Shark Bay C,Unburnt,Cneso,Eucalypt,534.3,591,3.7,4.1,0.408382161,0.5,9.5,NA,0,None,No
2,102,Shark Bay C,Unburnt,Cneso,Eucalypt,591,548.5,4.1,4,0.408382161,0.5,9.5,NA,0,None,No
1,103,Shark Bay C,Unburnt,Aexce,Pantropical,445,519.7,5.2,4.4,0.54406901,7.5,7.5,NA,0,None,No
2,103,Shark Bay C,Unburnt,Aexce,Pantropical,519.7,517,4.4,4.6,0.54406901,7.5,7.5,NA,0,None,No
1,104,Shark Bay C,Unburnt,Aexce,Pantropical,434,465.9,2.2,3.8,0.589625651,30,0,NA,0,None,No
2,104,Shark Bay C,Unburnt,Aexce,Pantropical,465.9,475.5,3.8,3.5,0.589625651,30,0,NA,0,None,No
1,105,Shark Bay C,Unburnt,Pcare,Pantropical,324.6,0,4.3,0,0.420390625,40,0,NA,0,None,Yes
1,106,Shark Bay C,Unburnt,Bobov,Pantropical,208.3,225.9,3.2,3.3,0.502936198,0,1,NA,0,None,No
2,106,Shark Bay C,Unburnt,Bobov,Pantropical,225.9,239.5,3.3,3.3,0.502936198,0,1,NA,0,None,No
2,107,Pikertaramoor,Unburnt,Cneso,Eucalypt,65,58.5,NA,0.3,0.356028933,NA,NA,NA,0,None,No
1,107,Pikertaramoor,Unburnt,Cneso,Eucalypt,90,65,NA,NA,0.356028933,NA,NA,NA,0,Basal,No
1,109,Shark Bay C,Unburnt,Pcare,Pantropical,189.5,211,2.8,2.8,0.544277344,15,0,NA,0,None,No
2,109,Shark Bay C,Unburnt,Pcare,Pantropical,211,183,2.8,2.9,0.544277344,15,0,NA,0,None,No
2,110,Shark Bay B,Unburnt,Echlo,Pantropical,363.5,286.5,4.2,4.3,0.409059245,20,0,NA,0,None,No
1,110,Shark Bay B,Unburnt,Echlo,Pantropical,367.4,363.5,4.2,4.2,0.409059245,20,0,NA,0,None,No
1,111,Shark Bay C,Unburnt,Emini,Eucalypt,61.2,105,NA,NA,0.419160156,2,18,NA,0,None,No
2,111,Shark Bay C,Unburnt,Emini,Eucalypt,105,64,NA,0.4,0.419160156,2,18,NA,0,None,No
1,113,Shark Bay B,Unburnt,Emini,Eucalypt,20,46,NA,NA,0.260891927,14.25,0.75,NA,0,None,No
2,113,Shark Bay B,Unburnt,Emini,Eucalypt,46,49,NA,0.3,0.260891927,14.25,0.75,NA,0,None,No
1,114,Shark Bay B,Unburnt,Pcare,Pantropical,61,77.5,NA,NA,0.441507161,31.5,3.5,NA,0,None,No
2,114,Shark Bay B,Unburnt,Pcare,Pantropical,77.5,92,NA,2,0.441507161,31.5,3.5,NA,0,None,No
1,115,Shark Bay C,Unburnt,Emini,Eucalypt,73,78,NA,NA,0.294576823,5,5,NA,0,Basal,No
2,115,Shark Bay C,Unburnt,Emini,Eucalypt,78,79.5,NA,0.3,0.294576823,5,5,NA,0,Both,No
2,116,Shark Bay C,Unburnt,Etetr,Eucalypt,175.8,131,1.5,1.7,0.41110026,1,0,NA,0,None,No
1,116,Shark Bay C,Unburnt,Etetr,Eucalypt,188.7,175.8,1.6,1.5,0.41110026,1,0,NA,0,None,No
1,117,Shark Bay C,Unburnt,Pcare,Pantropical,50,53,NA,NA,0.396363932,4,1,NA,0,None,No
2,117,Shark Bay C,Unburnt,Pcare,Pantropical,53,45.5,NA,NA,0.396363932,4,1,NA,0,None,No
1,119,Shark Bay C,Unburnt,Emini,Eucalypt,631,677,4.7,4.4,0.57726888,0.5,0.5,NA,0,None,No
2,119,Shark Bay C,Unburnt,Emini,Eucalypt,677,735.5,4.4,4.3,0.57726888,0.5,0.5,NA,0,None,No
1,120,Shark Bay C,Unburnt,Tferd,Pantropical,109.5,125,1.8,1.7,0.420953776,5,0,NA,0,None,No
2,120,Shark Bay C,Unburnt,Tferd,Pantropical,125,133.5,1.7,1.9,0.420953776,5,0,NA,0,None,No
1,121,Pikertaramoor,Unburnt,Bmega,Pantropical,63.5,74,1.4,1.9,0.274720052,NA,NA,NA,0,None,No
2,121,Pikertaramoor,Unburnt,Bmega,Pantropical,74,111.5,1.9,1.8,0.274720052,NA,NA,NA,0,None,No
1,122,Shark Bay C,Unburnt,Tferd,Pantropical,38,NA,NA,NA,0.594430339,NA,NA,NA,0,NA,No
2,122,Shark Bay C,Unburnt,Tferd,Pantropical,NA,76.5,NA,0.9,0.594430339,NA,NA,NA,0,None,No
1,123,Shark Bay C,Unburnt,Pcare,Pantropical,87,91,2.2,2.1,0.387783203,0,5,NA,0,None,No
2,123,Shark Bay C,Unburnt,Pcare,Pantropical,91,96,2.1,2.3,0.387783203,0,5,NA,0,None,No
1,124,Shark Bay B,Unburnt,Pcare,Pantropical,113,113,2.5,1.7,0.40558872,2.5,2.5,NA,0,None,No
2,124,Shark Bay B,Unburnt,Pcare,Pantropical,113,123,1.7,1.9,0.40558872,2.5,2.5,NA,0,None,No
2,125,Shark Bay C,Unburnt,Etetr,Eucalypt,70,59,NA,0.2,0.387229818,8,2,NA,0,Basal,No
1,125,Shark Bay C,Unburnt,Etetr,Eucalypt,80,70,NA,NA,0.387229818,8,2,NA,0,None,No
1,126,Shark Bay C,Unburnt,Etetr,Eucalypt,527.1,594.5,3.9,4.9,0.621715495,2.5,2.5,NA,0,None,No
2,126,Shark Bay C,Unburnt,Etetr,Eucalypt,594.5,632.5,4.9,4,0.621715495,2.5,2.5,NA,0,None,No
2,127,Shark Bay B,Unburnt,Pcare,Pantropical,106.5,131,3.5,3.9,0.559039714,5,0,NA,0,None,No
1,127,Shark Bay B,Unburnt,Pcare,Pantropical,246.7,106.5,3,3.5,0.559039714,5,0,NA,0,None,No
1,128,Shark Bay B,Unburnt,Emini,Eucalypt,237.4,408,1.5,3.8,0.331365791,5,5,NA,0,None,No
2,128,Shark Bay B,Unburnt,Emini,Eucalypt,408,623,3.8,5.3,0.331365791,5,5,NA,0,Basal,No
1,130,Shark Bay B,Unburnt,Etetr,Eucalypt,510.2,552.5,4.1,4.2,0.421005859,14.25,0.75,NA,0,None,No
2,130,Shark Bay B,Unburnt,Etetr,Eucalypt,552.5,607,4.2,4.5,0.421005859,14.25,0.75,NA,0,None,No
2,131,Shark Bay C,Unburnt,Etetr,Eucalypt,43,49.5,NA,NA,0.46836263,4.75,0.25,NA,0,None,No
1,131,Shark Bay C,Unburnt,Etetr,Eucalypt,55,43,NA,NA,0.46836263,4.75,0.25,NA,0,None,No
2,132,Imalu,Unburnt,Etetr,Eucalypt,117.5,110.5,1,1.4,0.288258464,1,4,NA,0,Epicormic,No
1,132,Imalu,Unburnt,Etetr,Eucalypt,137.5,117.5,NA,1,0.288258464,1,4,NA,0,Basal,No
2,134,Shark Bay C,Unburnt,Cneso,Eucalypt,70,22,NA,NA,0.361041667,4.75,0.25,NA,0,None,No
1,134,Shark Bay C,Unburnt,Cneso,Eucalypt,84.8,70,NA,NA,0.361041667,4.75,0.25,NA,0,None,No
1,135,Shark Bay C,Unburnt,Alate,Acacia,245.7,252.8,1.8,2.3,0.54038737,4.75,0.25,NA,0,None,No
2,135,Shark Bay C,Unburnt,Alate,Acacia,252.8,353,2.3,2.9,0.54038737,4.75,0.25,NA,0,None,No
1,138,Shark Bay C,Unburnt,Echlo,Pantropical,356.6,359.7,4.5,4.9,0.640934245,5,0,NA,0,None,No
2,138,Shark Bay C,Unburnt,Echlo,Pantropical,359.7,369,4.9,4.7,0.640934245,5,0,NA,0,None,No
2,140,Shark Bay C,Unburnt,Tferd,Pantropical,173,174,2.6,2.1,0.231194661,30,0,NA,0,None,No
1,140,Shark Bay C,Unburnt,Tferd,Pantropical,182.5,173,2.6,2.6,0.231194661,30,0,NA,0,None,No
1,141,Shark Bay C,Unburnt,Echlo,Pantropical,49.1,65,NA,NA,0.563730469,0.5,0.5,NA,0,None,No
